latitude,longitude,value,aqi,so2,no2,o3,value2
37.3935821,140.3435799,114.0,42.0,1.5,13.9,4.8,114.0
37.3935821,140.3435799,67.0,42.0,1.5,13.9,4.8,67.0
37.3935821,140.3435799,68.0,42.0,1.5,13.9,4.8,68.0
37.3935821,140.3435799,81.0,42.0,1.5,13.9,4.8,81.0
37.3935821,140.3435799,35.0,42.0,1.5,13.9,4.8,35.0
37.3935821,140.3435799,52.0,42.0,1.5,13.9,4.8,52.0
37.3935821,140.3435799,52.0,42.0,1.5,13.9,4.8,52.0
37.3935821,140.3435799,54.0,42.0,1.5,13.9,4.8,54.0
37.3935821,140.3435799,117.0,42.0,1.5,13.9,4.8,117.0
37.3909309,140.3965114,116.0,25.0,1.5,5.6,3.2,116.0
37.3909309,140.3965114,67.0,25.0,1.5,5.6,3.2,67.0
37.3909309,140.3965114,69.0,25.0,1.5,5.6,3.2,69.0
37.3935821,140.3435799,47.0,42.0,1.5,13.9,4.8,47.0
37.3935821,140.3435799,130.0,42.0,1.5,13.9,4.8,130.0
37.3935821,140.3435799,109.0,42.0,1.5,13.9,4.8,109.0
37.3935821,140.3435799,60.0,42.0,1.5,13.9,4.8,60.0
37.3935821,140.3435799,78.0,42.0,1.5,13.9,4.8,78.0
37.3935821,140.3435799,72.0,42.0,1.5,13.9,4.8,72.0
37.3909309,140.3965114,140.0,25.0,1.5,5.6,3.2,140.0
37.3909309,140.3965114,92.0,25.0,1.5,5.6,3.2,92.0
37.3909309,140.3965114,62.0,25.0,1.5,5.6,3.2,62.0
37.3909309,140.3965114,100.0,25.0,1.5,5.6,3.2,100.0
37.3909309,140.3965114,107.0,25.0,1.5,5.6,3.2,107.0
37.3935821,140.3435799,32.0,42.0,1.5,13.9,4.8,32.0
37.3935821,140.3435799,125.0,42.0,1.5,13.9,4.8,125.0
37.3935821,140.3435799,84.0,42.0,1.5,13.9,4.8,84.0
37.3935821,140.3435799,135.0,42.0,1.5,13.9,4.8,135.0
37.3935821,140.3435799,120.0,42.0,1.5,13.9,4.8,120.0
37.3935821,140.3435799,54.0,42.0,1.5,13.9,4.8,54.0
37.3935821,140.3435799,57.0,42.0,1.5,13.9,4.8,57.0
37.3935821,140.3435799,117.0,42.0,1.5,13.9,4.8,117.0
37.3935821,140.3435799,106.0,42.0,1.5,13.9,4.8,106.0
37.3935821,140.3435799,103.0,42.0,1.5,13.9,4.8,103.0
