latitude,longitude,value,aqi,so2,no2,o3,value2
36.9632779,140.8926893,22.0,17.0,1.5,6.5,1.6,22.0
36.9632779,140.8926893,33.0,17.0,1.5,6.5,1.6,33.0
36.9632779,140.8926893,22.0,17.0,1.5,6.5,1.6,22.0
36.9632779,140.8926893,23.0,17.0,1.5,6.5,1.6,23.0
36.9632779,140.8926893,26.0,17.0,1.5,6.5,1.6,26.0
36.9632779,140.8926893,22.0,17.0,1.5,6.5,1.6,22.0
36.9632779,140.8926893,25.0,17.0,1.5,6.5,1.6,25.0
36.9632779,140.8926893,14.0,17.0,1.5,6.5,1.6,14.0
36.9632779,140.8926893,23.0,17.0,1.5,6.5,1.6,23.0
36.9632779,140.8926893,27.0,17.0,1.5,6.5,1.6,27.0
36.9632779,140.8926893,29.0,17.0,1.5,6.5,1.6,29.0
36.9632779,140.8926893,16.0,17.0,1.5,6.5,1.6,16.0
36.9632779,140.8926893,27.0,17.0,1.5,6.5,1.6,27.0
36.9632779,140.8926893,27.0,17.0,1.5,6.5,1.6,27.0
36.9632779,140.8926893,20.0,17.0,1.5,6.5,1.6,20.0
36.9632779,140.8926893,17.0,17.0,1.5,6.5,1.6,17.0
36.9632779,140.8926893,24.0,17.0,1.5,6.5,1.6,24.0
36.9632779,140.8926893,20.0,17.0,1.5,6.5,1.6,20.0
36.9632779,140.8926893,21.0,17.0,1.5,6.5,1.6,21.0
36.9632779,140.8926893,27.0,17.0,1.5,6.5,1.6,27.0
36.9632779,140.8926893,26.0,17.0,1.5,6.5,1.6,26.0
36.9632779,140.8926893,29.0,17.0,1.5,6.5,1.6,29.0
36.9632779,140.8926893,32.0,17.0,1.5,6.5,1.6,32.0
36.9632779,140.8926893,24.0,17.0,1.5,6.5,1.6,24.0
36.9632779,140.8926893,24.0,17.0,1.5,6.5,1.6,24.0
36.9632779,140.8926893,27.0,17.0,1.5,6.5,1.6,27.0
36.9632779,140.8926893,29.0,17.0,1.5,6.5,1.6,29.0
36.9632779,140.8926893,21.0,17.0,1.5,6.5,1.6,21.0
36.9632779,140.8926893,22.0,17.0,1.5,6.5,1.6,22.0
36.9632779,140.8926893,22.0,17.0,1.5,6.5,1.6,22.0
36.9632779,140.8926893,20.0,17.0,1.5,6.5,1.6,20.0
36.9632779,140.8926893,20.0,17.0,1.5,6.5,1.6,20.0
37.2657039,140.9983584,17.0,9.0,1.5,1.9,11.2,17.0
37.2657039,140.9983584,14.0,9.0,1.5,1.9,11.2,14.0
37.2657039,140.9983584,22.0,9.0,1.5,1.9,11.2,22.0
37.2657039,140.9983584,29.0,9.0,1.5,1.9,11.2,29.0
37.2657039,140.9983584,25.0,9.0,1.5,1.9,11.2,25.0
37.2657039,140.9983584,28.0,9.0,1.5,1.9,11.2,28.0
37.2657039,140.9983584,24.0,9.0,1.5,1.9,11.2,24.0
37.2657039,140.9983584,22.0,9.0,1.5,1.9,11.2,22.0
37.2657039,140.9983584,21.0,9.0,1.5,1.9,11.2,21.0
37.2657039,140.9983584,23.0,9.0,1.5,1.9,11.2,23.0
37.2657039,140.9983584,21.0,9.0,1.5,1.9,11.2,21.0
37.2657039,140.9983584,20.0,9.0,1.5,1.9,11.2,20.0
37.2657039,140.9983584,28.0,9.0,1.5,1.9,11.2,28.0
37.2657039,140.9983584,22.0,9.0,1.5,1.9,11.2,22.0
37.2657039,140.9983584,21.0,9.0,1.5,1.9,11.2,21.0
37.2657039,140.9983584,26.0,9.0,1.5,1.9,11.2,26.0
37.2657039,140.9983584,22.0,9.0,1.5,1.9,11.2,22.0
37.2657039,140.9983584,19.0,9.0,1.5,1.9,11.2,19.0
37.2657039,140.9983584,20.0,9.0,1.5,1.9,11.2,20.0
37.2657039,140.9983584,24.0,9.0,1.5,1.9,11.2,24.0
37.2657039,140.9983584,31.0,9.0,1.5,1.9,11.2,31.0
37.2657039,140.9983584,28.0,9.0,1.5,1.9,11.2,28.0
37.2657039,140.9983584,24.0,9.0,1.5,1.9,11.2,24.0
37.2657039,140.9983584,28.0,9.0,1.5,1.9,11.2,28.0
37.2657039,140.9983584,25.0,9.0,1.5,1.9,11.2,25.0
37.2657039,140.9983584,31.0,9.0,1.5,1.9,11.2,31.0
37.2657039,140.9983584,23.0,9.0,1.5,1.9,11.2,23.0
37.2657039,140.9983584,27.0,9.0,1.5,1.9,11.2,27.0
37.2657039,140.9983584,21.0,9.0,1.5,1.9,11.2,21.0
37.2657039,140.9983584,27.0,9.0,1.5,1.9,11.2,27.0
37.2657039,140.9983584,21.0,9.0,1.5,1.9,11.2,21.0
37.2657039,140.9983584,26.0,9.0,1.5,1.9,11.2,26.0
37.2657039,140.9983584,34.0,9.0,1.5,1.9,11.2,34.0
